candidate_index,disease_local_id,disease_global_id,disease_mesh_id,disease_name,drug_local_id,drug_global_id,drugbank_id,drug_name,gene_local_id,gene_global_id,gene_entrez_id,gene_symbol,drug_gene_edge_in_ms,gene_disease_edge_in_ms,drug_disease_edge_in_ms,ms_motif
194,93,93,D006973,Hypertension,124,818,DB00334,olanzapine,17,1983,153,ADRB1,True,True,False,gene_star
195,94,94,D006333,Heart Failure,124,818,DB00334,olanzapine,17,1983,153,ADRB1,True,True,False,gene_star
196,96,96,D003920,Diabetes Mellitus,124,818,DB00334,olanzapine,17,1983,153,ADRB1,True,True,False,gene_star
197,106,106,D009765,Obesity,124,818,DB00334,olanzapine,17,1983,153,ADRB1,True,True,False,gene_star
198,162,162,D003866,Depressive Disorder,124,818,DB00334,olanzapine,17,1983,153,ADRB1,True,True,False,gene_star
199,266,266,D013274,Stomach Neoplasms,124,818,DB00334,olanzapine,17,1983,153,ADRB1,True,True,False,gene_star
200,548,548,D017202,Myocardial Ischemia,124,818,DB00334,olanzapine,17,1983,153,ADRB1,True,True,False,gene_star
201,576,576,D002311,"Cardiomyopathy, Dilated",124,818,DB00334,olanzapine,17,1983,153,ADRB1,True,True,False,gene_star
202,600,600,D006940,Hyperemia,124,818,DB00334,olanzapine,17,1983,153,ADRB1,True,True,False,gene_star
203,651,651,D018754,Ventricular Dysfunction,124,818,DB00334,olanzapine,17,1983,153,ADRB1,True,True,False,gene_star
204,96,96,D003920,Diabetes Mellitus,125,819,DB00335,atenolol-(+/-),17,1983,153,ADRB1,True,True,False,gene_star
205,106,106,D009765,Obesity,125,819,DB00335,atenolol-(+/-),17,1983,153,ADRB1,True,True,False,gene_star
206,162,162,D003866,Depressive Disorder,125,819,DB00335,atenolol-(+/-),17,1983,153,ADRB1,True,True,False,gene_star
207,266,266,D013274,Stomach Neoplasms,125,819,DB00335,atenolol-(+/-),17,1983,153,ADRB1,True,True,False,gene_star
208,548,548,D017202,Myocardial Ischemia,125,819,DB00335,atenolol-(+/-),17,1983,153,ADRB1,True,True,False,gene_star
209,576,576,D002311,"Cardiomyopathy, Dilated",125,819,DB00335,atenolol-(+/-),17,1983,153,ADRB1,True,True,False,gene_star
210,600,600,D006940,Hyperemia,125,819,DB00335,atenolol-(+/-),17,1983,153,ADRB1,True,True,False,gene_star
211,651,651,D018754,Ventricular Dysfunction,125,819,DB00335,atenolol-(+/-),17,1983,153,ADRB1,True,True,False,gene_star
212,93,93,D006973,Hypertension,145,839,DB00368,norepinephrine,17,1983,153,ADRB1,True,True,False,gene_star
213,94,94,D006333,Heart Failure,145,839,DB00368,norepinephrine,17,1983,153,ADRB1,True,True,False,gene_star
214,96,96,D003920,Diabetes Mellitus,145,839,DB00368,norepinephrine,17,1983,153,ADRB1,True,True,False,gene_star
215,106,106,D009765,Obesity,145,839,DB00368,norepinephrine,17,1983,153,ADRB1,True,True,False,gene_star
216,162,162,D003866,Depressive Disorder,145,839,DB00368,norepinephrine,17,1983,153,ADRB1,True,True,False,gene_star
217,266,266,D013274,Stomach Neoplasms,145,839,DB00368,norepinephrine,17,1983,153,ADRB1,True,True,False,gene_star
218,548,548,D017202,Myocardial Ischemia,145,839,DB00368,norepinephrine,17,1983,153,ADRB1,True,True,False,gene_star
